gamma1,gamma2,alpha,nu
-0.8979591836734694,2.6122448979591835,-1.7533534665070916,8.262249236916807
-0.8979591836734694,2.693877551020408,-1.7099567658947532,8.068155682531824
-0.8979591836734694,2.7755102040816326,-1.669217258463817,7.890552284764752
-0.8979591836734694,2.8571428571428568,-1.6309000992314717,7.72746237462025
-0.8979591836734694,2.9387755102040813,-1.5947974790303088,7.577208953492073
-0.8979591836734694,3.020408163265306,-1.5607247944316227,7.4383604202470694
-0.8979591836734694,3.1020408163265305,-1.5285174614576338,7.309687635730518
-0.8979591836734694,3.1836734693877546,-1.4980282479375027,7.190129659432902
-0.8979591836734694,3.265306122448979,-1.4691250270690743,7.078766183567906
-0.8979591836734694,3.346938775510204,-1.4416888753204495,6.974795189040034
-0.8979591836734694,3.4285714285714284,-1.4156124537792019,6.877514706876119
-0.8979591836734694,3.510204081632653,-1.3907986244746706,6.786307832004941
-0.8979591836734694,3.591836734693877,-1.3671592604243252,6.700630346097881
-0.8979591836734694,3.6734693877551017,-1.3446142232651652,6.620000404718786
-0.8979591836734694,3.7551020408163263,-1.3230904739327494,6.543989944716152
-0.8979591836734694,3.836734693877551,-1.302521302528142,6.47221745034176
-0.8979591836734694,3.9183673469387754,-1.2828456562454011,6.4043418519022
-0.8979591836734694,4.0,-1.264007551349732,6.340057353639255
-0.846938775510204,0.0,-50.26748699857969,338.284469238458
-0.846938775510204,0.08163265306122448,-53.87267447198561,330.23512200947806
-0.846938775510204,0.16326530612244897,-51.136983118950255,335.12944820359485
-0.846938775510204,0.24489795918367346,-2.636054099662134,323.54872798369826
-0.846938775510204,0.32653061224489793,-2.856292447524104,333.69898933212073
-0.846938775510204,0.4081632653061224,-3.0589838692023283,320.1180771063793
-0.846938775510204,0.4897959183673469,-3.384588840875438,336.04685158934416
-0.846938775510204,0.5714285714285714,-3.7397216743457986,343.11371449259326
-0.846938775510204,0.6530612244897959,-4.561325142443194,310.944562627722
-0.846938775510204,0.7346938775510203,-4.69197293925439,266.7036813322859
-0.846938775510204,0.8163265306122448,-4.232303690018335,80.01584474621376
-0.846938775510204,0.8979591836734693,-3.8698231319397745,48.0297244348194
-0.846938775510204,0.9795918367346939,-3.5744691959572705,34.80252592130793
-0.846938775510204,1.0612244897959182,-3.3278850992677134,27.58413413257267
-0.846938775510204,1.1428571428571428,-3.1181241470108976,23.044501573503364
-0.846938775510204,1.2244897959183672,-2.9370182814454275,19.93027818482161
-0.846938775510204,1.3061224489795917,-2.7787586123481676,17.66429334520582
-0.846938775510204,1.3877551020408163,-2.639078861530565,15.94374486910376
-0.846938775510204,1.4693877551020407,-2.5147606076403255,14.59448167299459
-0.846938775510204,1.5510204081632653,-2.4033203747637564,13.509240674955606
